"Chief Executives","Admiral"
"Chief Executives","CEO"
"Chief Executives","Chief Executive Officer"
"Chief Executives","Chief Financial Officer"
"Chief Executives","Chief Operating Officer"
"Chief Executives","Chief Sustainability Officer"
"Chief Executives","Commissioner of Internal Revenue"
"Chief Executives","COO"
"Chief Executives","County Commissioner"
"Chief Executives","Government Service Executive"
"Chief Executives","Governor"
"Chief Executives","Mayor"
"Chief Executives","School Superintendent"
"Chief Executives","University President"
"General and Operations Managers","Department Store General Manager"
"General and Operations Managers","Department Store Manager"
"General and Operations Managers","General Manager"
"General and Operations Managers","General Superintendent"
"General and Operations Managers","Manufacturing Operations Manager"
"General and Operations Managers","Operational Risk Manager"
"General and Operations Managers","Operations Manager"
"General and Operations Managers","Radio Station Manager"
"General and Operations Managers","Television Store Manager"
"Legislators","City Alderman"
"Legislators","City Council Member"
"Legislators","Congressional Representative"
"Legislators","Councilor"
"Legislators","Legislator"
"Legislators","Member of Congress"
"Legislators","Selectman"
"Legislators","Senator"
"Legislators","Tribal Council Member"
"Advertising and Promotions Managers","Advertising Director"
"Advertising and Promotions Managers","Advertising Executive"
"Advertising and Promotions Managers","Advertising Manager"
"Advertising and Promotions Managers","Classified Advertising Manager"
"Advertising and Promotions Managers","Promotions Director"
"Advertising and Promotions Managers","Promotions Manager"
"Advertising and Promotions Managers","VP Advertising"
"Advertising and Promotions Managers","VP Promotions"
"Marketing Managers","Internet Marketing Manager"
"Marketing Managers","Marketing Administrator"
"Marketing Managers","Marketing Director"
"Marketing Managers","VP Marketing"
"Sales Managers","District Sales Manager"
"Sales Managers","E-Commerce Director"
"Sales Managers","Export Manager"
"Sales Managers","Regional Sales Manager"
"Sales Managers","Sales Account Manager"
"Sales Managers","Sales Director"
"Sales Managers","Territory Sales Manager"
"Public Relations Managers","Communication Manager"
"Public Relations Managers","Public Affairs Director"
"Public Relations Managers","Public Information Director"
"Public Relations Managers","Public Information Relations Manager"
"Public Relations Managers","Public Relations Director"
"Public Relations Managers","Public Relations Manager"
"Public Relations Managers","Publicity Director"
"Fundraising Managers","Donor Relations Manager"
"Fundraising Managers","Foundation Director"
"Fundraising Managers","Funding Coordinator"
"Fundraising Managers","Fundraising Director"
"Administrative Services Managers","Business Office Manager"
"Administrative Services Managers","Business Unit Manager"
"Administrative Services Managers","Records and Information Manager"
"Administrative Services Managers","Records Management Director"
"Administrative Services Managers","University Registrar"
"Facilities Managers","Conference Center Manager"
"Facilities Managers","Director of University Housing"
"Facilities Managers","Stadium Manager"
"Computer and Information Systems Managers","Application Development Director"
"Computer and Information Systems Managers","Chief Technology Officer"
"Computer and Information Systems Managers","Computer Operations Manager"
"Computer and Information Systems Managers","Computer Security Manager"
"Computer and Information Systems Managers","Data Operations Director"
"Computer and Information Systems Managers","Data Processing Manager"
"Computer and Information Systems Managers","Information Systems Director"
"Computer and Information Systems Managers","Information Systems Manager"
"Computer and Information Systems Managers","Information Technology Director"
"Computer and Information Systems Managers","Information Technology Systems Director"
"Computer and Information Systems Managers","Internet Technology Manager"
"Computer and Information Systems Managers","Management Information Systems Director"
