"Admiral","Admiral"
"CEO","CEO"
"Chief Executive Officer","Chief Executive Officer"
"Chief Financial Officer","Chief Financial Officer"
"Chief Operating Officer","Chief Operating Officer"
"Chief Sustainability Officer","Chief Sustainability Officer"
"Commissioner of Internal Revenue","Commissioner of Internal Revenue"
"COO","COO"
"County Commissioner","County Commissioner"
"Government Service Executive","Government Service Executive"
"Governor","Governor"
"Mayor","Mayor"
"School Superintendent","School Superintendent"
"University President","University President"
"Department Store General Manager","Department Store General Manager"
"Department Store Manager","Department Store Manager"
"General Manager","General Manager"
"General Superintendent","General Superintendent"
"Manufacturing Operations Manager","Manufacturing Operations Manager"
"Operational Risk Manager","Operational Risk Manager"
"Operations Manager","Operations Manager"
"Radio Station Manager","Radio Station Manager"
"Television Store Manager","Television Store Manager"
"City Alderman","City Alderman"
"City Council Member","City Council Member"
"Congressional Representative","Congressional Representative"
"Councilor","Councilor"
"Legislator","Legislator"
"Member of Congress","Member of Congress"
"Selectman","Selectman"
"Senator","Senator"
"Tribal Council Member","Tribal Council Member"
"Advertising Director","Advertising Director"
"Advertising Executive","Advertising Executive"
"Advertising Manager","Advertising Manager"
"Classified Advertising Manager","Classified Advertising Manager"
"Promotions Director","Promotions Director"
"Promotions Manager","Promotions Manager"
"VP Advertising","VP Advertising"
"VP Promotions","VP Promotions"
"Internet Marketing Manager","Internet Marketing Manager"
"Marketing Administrator","Marketing Administrator"
"Marketing Director","Marketing Director"
"VP Marketing","VP Marketing"
"District Sales Manager","District Sales Manager"
"E-Commerce Director","E-Commerce Director"
"Export Manager","Export Manager"
"Regional Sales Manager","Regional Sales Manager"
"Sales Account Manager","Sales Account Manager"
"Sales Director","Sales Director"
"Territory Sales Manager","Territory Sales Manager"
"Communication Manager","Communication Manager"
"Public Affairs Director","Public Affairs Director"
"Public Information Director","Public Information Director"
"Public Information Relations Manager","Public Information Relations Manager"
"Public Relations Director","Public Relations Director"
"Public Relations Manager","Public Relations Manager"
"Publicity Director","Publicity Director"
"Donor Relations Manager","Donor Relations Manager"
"Foundation Director","Foundation Director"
"Funding Coordinator","Funding Coordinator"
"Fundraising Director","Fundraising Director"
"Business Office Manager","Business Office Manager"
"Business Unit Manager","Business Unit Manager"
"Records and Information Manager","Records and Information Manager"
"Records Management Director","Records Management Director"
"University Registrar","University Registrar"
"Conference Center Manager","Conference Center Manager"
"Director of University Housing","Director of University Housing"
"Stadium Manager","Stadium Manager"
"Application Development Director","Application Development Director"
"Chief Technology Officer","Chief Technology Officer"
"Computer Operations Manager","Computer Operations Manager"
"Computer Security Manager","Computer Security Manager"
"Data Operations Director","Data Operations Director"
"Data Processing Manager","Data Processing Manager"
"Information Systems Director","Information Systems Director"
"Information Systems Manager","Information Systems Manager"
"Information Technology Director","Information Technology Director"
"Information Technology Systems Director","Information Technology Systems Director"
"Internet Technology Manager","Internet Technology Manager"
"Management Information Systems Director","Management Information Systems Director"
"MIS Director","MIS Director"
"Bank Branch Manager","Bank Branch Manager"
"Banking Center Manager","Banking Center Manager"
"Banking Manager","Banking Manager"
"City Comptroller","City Comptroller"
"City Treasurer","City Treasurer"
"Comptroller","Comptroller"
"Credit Manager","Credit Manager"
"Financial Director","Financial Director"
"Financial Officer","Financial Officer"
"Fiscal Manager","Fiscal Manager"
"International Bank Manager","International Bank Manager"
"Residential Mortgage Manager","Residential Mortgage Manager"
"Industrial Production Manager","Industrial Production Manager"
"Manufacturing Director","Manufacturing Director"
"Plant Chief","Plant Chief"
"Plant Manager","Plant Manager"
"Plant Superintendent","Plant Superintendent"
"Production Control Manager","Production Control Manager"
"Contract Administrator","Contract Administrator"
"Contracting Manager","Contracting Manager"
"Director of Strategic Sourcing","Director of Strategic Sourcing"
"Procurement Manager","Procurement Manager"
"Purchasing Director","Purchasing Director"
"Sourcing Manager","Sourcing Manager"
"Airport Manager","Airport Manager"
"Cold Storage Supervisor","Cold Storage Supervisor"
"Distribution Center Manager","Distribution Center Manager"
"Logistics Manager","Logistics Manager"
"Logistics Supply Officer","Logistics Supply Officer"
"Marine Oil Terminal Superintendent","Marine Oil Terminal Superintendent"
"Traffic Safety Administrator","Traffic Safety Administrator"
"Transportation Manager","Transportation Manager"
"Warehouse Manager","Warehouse Manager"
"Warehouse Operations Manager","Warehouse Operations Manager"
"Compensation Director","Compensation Director"
"Employee Benefits Coordinator","Employee Benefits Coordinator"
"Employee Benefits Director","Employee Benefits Director"
"Employee Benefits Manager","Employee Benefits Manager"
"Wage and Salary Administrator","Wage and Salary Administrator"
"Employee Relations Manager","Employee Relations Manager"
"Job Analysis Manager","Job Analysis Manager"
"Labor Relations Director","Labor Relations Director"
